Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,,140.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,,145.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,,150.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,,440.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,,445.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,,450.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,N5UIG/R,431.300000,+,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
8,NCTC,444.175000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
13,WX1PA7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
35,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
36,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
37,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
39,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
40,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,FRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
55,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
56,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
58,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
59,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
60,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,GMRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,GMRS 55,462.550000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,GMRS 57,462.575000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,GMRS 60,462.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,GMRS 62,462.625000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,GMRS 65,462.650000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,GMRS 67,462.675000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,GMRS 70,462.700000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,GMRS 72,462.725000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
